date,ticker,p_1045,p_1115,p_1145,p_1215,ret_control,ret_phantom,ret_post
2025-04-08,GOOGL,151.1925,148.0900,148.3000,148.8300,-0.020520,0.001418,0.003574
2025-04-09,GOOGL,144.9746,143.9000,144.4800,145.1900,-0.007412,0.004031,0.004914
2025-04-10,GOOGL,155.4307,155.3300,155.0500,154.3500,-0.000648,-0.001803,-0.004515
2025-04-11,GOOGL,155.1465,153.8200,151.9200,152.1600,-0.008550,-0.012352,0.001580
2025-04-14,GOOGL,160.9156,158.3700,158.5800,158.8100,-0.015819,0.001326,0.001450
2025-04-15,GOOGL,157.3853,159.6700,159.4700,159.5900,0.014517,-0.001253,0.000752
2025-04-16,GOOGL,154.4136,152.9600,153.8800,153.1800,-0.009414,0.006015,-0.004549
2025-04-17,GOOGL,149.8362,154.8200,154.6100,154.4900,0.033262,-0.001356,-0.000776
2025-04-21,GOOGL,147.1735,149.1600,149.0800,148.7700,0.013498,-0.000536,-0.002079
2025-04-22,GOOGL,149.5143,148.6400,149.2000,148.8500,-0.005848,0.003767,-0.002346
2025-04-23,GOOGL,156.5277,154.4600,154.5700,154.4100,-0.013210,0.000712,-0.001035
2025-04-24,GOOGL,157.2358,154.0500,153.6100,153.8300,-0.020261,-0.002856,0.001432
2025-04-25,GOOGL,163.2192,168.2000,167.8100,167.3900,0.030516,-0.002319,-0.002503
2025-04-28,GOOGL,160.5267,161.4700,161.7900,161.4100,0.005876,0.001982,-0.002349
2025-04-29,GOOGL,159.6790,160.4200,160.6600,160.7000,0.004641,0.001496,0.000249
2025-04-30,GOOGL,156.4280,159.5900,159.5200,159.6300,0.020214,-0.000439,0.000690
2025-05-01,GOOGL,160.4868,159.9400,159.9000,160.2000,-0.003407,-0.000250,0.001876
2025-05-02,GOOGL,163.2192,162.3300,162.2200,161.8900,-0.005448,-0.000678,-0.002034
2025-05-05,GOOGL,164.3162,162.5700,162.3300,162.1600,-0.010627,-0.001476,-0.001047
2025-05-06,GOOGL,163.2292,162.4600,162.3400,162.2000,-0.004712,-0.000739,-0.000862
2025-05-07,GOOGL,163.2392,163.8600,163.9400,164.0600,0.003803,0.000488,0.000732
2025-05-08,GOOGL,153.3964,153.4600,154.1400,154.2200,0.000415,0.004431,0.000519
2025-05-09,GOOGL,152.2844,154.6200,154.6900,154.2400,0.015337,0.000453,-0.002909
2025-05-12,GOOGL,157.0662,156.3300,157.0700,157.8200,-0.004687,0.004734,0.004775
2025-05-13,GOOGL,158.6818,157.1200,157.3100,157.1900,-0.009842,0.001209,-0.000763
2025-05-14,GOOGL,162.3516,159.5900,159.6400,159.4500,-0.017010,0.000313,-0.001190
2025-05-15,GOOGL,163.8774,163.2400,163.0900,162.5700,-0.003889,-0.000919,-0.003188
2025-05-16,GOOGL,165.2038,164.7100,164.8300,164.9200,-0.002989,0.000729,0.000546
2025-05-19,GOOGL,164.3062,162.3200,161.7700,161.7300,-0.012088,-0.003388,-0.000247
2025-05-20,GOOGL,166.3207,166.3000,166.5200,166.4900,-0.000124,0.001323,-0.000180
2025-05-21,GOOGL,169.5617,164.0500,163.9400,164.4400,-0.032506,-0.000671,0.003050
2025-05-22,GOOGL,173.7601,169.9200,170.3900,170.2900,-0.022100,0.002766,-0.000587
2025-05-23,GOOGL,169.1728,172.0900,171.7200,171.3600,0.017244,-0.002150,-0.002096
2025-05-27,GOOGL,171.5712,172.0800,171.8500,172.1300,0.002966,-0.001337,0.001629
2025-05-28,GOOGL,172.3341,172.2200,172.3600,172.4200,-0.000662,0.000813,0.000348
2025-05-29,GOOGL,171.9900,175.1500,174.7500,174.7200,0.018373,-0.002284,-0.000172
2025-05-30,GOOGL,170.0703,171.4900,171.2100,171.2100,0.008348,-0.001633,0.000000
2025-06-02,GOOGL,168.3750,169.7300,169.6700,169.5300,0.008048,-0.000354,-0.000825
2025-06-03,GOOGL,166.6926,167.6900,167.7800,168.0400,0.005983,0.000537,0.001550
2025-06-04,GOOGL,167.1085,166.5200,166.5100,166.4300,-0.003522,-0.000060,-0.000480
2025-06-05,GOOGL,169.6714,168.2400,168.3600,168.1700,-0.008436,0.000713,-0.001129
2025-06-06,GOOGL,172.4238,168.3800,168.4500,168.2600,-0.023453,0.000416,-0.001128
2025-06-09,GOOGL,175.4051,173.6000,173.1100,173.3300,-0.010291,-0.002823,0.001271
2025-06-10,GOOGL,180.2076,175.5000,175.6900,176.1600,-0.026123,0.001083,0.002675
2025-06-11,GOOGL,178.5601,178.4400,178.5000,178.6000,-0.000673,0.000336,0.000560
2025-06-12,GOOGL,175.6896,176.0200,175.8500,176.1100,0.001881,-0.000966,0.001479
2025-06-13,GOOGL,174.2070,172.4800,172.0300,171.9200,-0.009913,-0.002609,-0.000639
