date,half,ticker,direction,close,ema9,ema21
2025-10-28,AM,BIDU,UP,127.0300,124.2916,124.1881
2025-10-31,AM,BIDU,DOWN,120.9600,124.3279,124.5137
2025-11-06,AM,BIDU,UP,127.0000,124.5983,124.3052
2025-11-14,PM,BIDU,DOWN,118.6000,125.7524,126.3059
2025-12-05,AM,BIDU,UP,124.5800,119.4831,118.8077
2025-12-17,AM,BIDU,DOWN,122.0000,123.1703,123.3003
2025-12-22,AM,BIDU,UP,124.4600,123.2130,123.1888
2025-12-29,PM,BIDU,DOWN,122.4800,123.2041,123.2729
2025-12-30,AM,BIDU,UP,133.1500,125.1933,124.1709
2026-02-02,PM,BIDU,DOWN,150.2800,154.9454,155.0646
2026-03-16,AM,BIDU,UP,125.1800,123.9282,123.9089
2026-03-17,PM,BIDU,DOWN,122.3800,123.6363,123.8025
2025-02-03,PM,C,DOWN,76.8100,77.1220,77.1645
2025-02-04,PM,C,UP,77.6500,77.2102,77.1962
2025-02-05,AM,C,DOWN,76.8600,77.1401,77.1656
2025-02-06,AM,C,UP,77.8000,77.2305,77.1997
2025-02-24,PM,C,DOWN,78.3400,79.5359,79.5787
2025-03-24,AM,C,UP,71.9731,69.4531,69.2370
2025-03-31,AM,C,DOWN,67.5400,70.0128,70.0457
2025-04-23,AM,C,UP,65.2954,62.1333,61.9471
2025-08-05,AM,C,DOWN,90.2287,91.5840,91.7294
2025-08-12,PM,C,UP,91.8600,91.5935,91.5916
2025-08-21,AM,C,DOWN,91.4748,92.4916,92.5038
2025-08-25,AM,C,UP,93.9870,92.5433,92.4900
2025-10-02,AM,C,DOWN,98.0300,100.3345,100.4400
2025-10-16,AM,C,UP,98.8700,97.3217,97.2748
2025-10-17,AM,C,DOWN,93.0900,96.7279,97.0287
2025-10-22,AM,C,UP,97.2600,97.0031,96.9998
2025-10-22,PM,C,DOWN,95.2529,96.6530,96.8410
2025-10-27,AM,C,UP,98.1900,96.8711,96.8377
2025-11-18,AM,C,DOWN,98.6209,99.7982,99.9582
2025-11-26,AM,C,UP,102.2323,99.6179,99.4248
2026-01-13,PM,C,DOWN,117.0000,118.2211,118.2857
2026-02-03,AM,C,UP,116.1200,114.6844,114.6531
2026-02-13,AM,C,DOWN,110.6800,117.3450,117.6078
2025-02-03,PM,COIN,DOWN,273.2000,274.8240,275.0455
2025-02-04,AM,COIN,UP,283.3800,276.5352,275.8031
2025-02-12,AM,COIN,DOWN,269.7200,276.9812,277.2024
2025-02-13,PM,COIN,UP,283.7700,277.7815,277.3676
2025-02-19,AM,COIN,DOWN,268.2900,278.2380,278.4402
2025-03-26,AM,COIN,UP,203.9900,196.6135,195.8197
2025-03-28,AM,COIN,DOWN,186.0500,194.5109,195.2218
2025-04-14,PM,COIN,UP,181.4300,171.6557,171.4142
2025-06-03,AM,COIN,DOWN,248.9200,252.6810,252.9005
2025-06-04,AM,COIN,UP,262.5000,254.0702,253.4583
2025-06-06,PM,COIN,DOWN,249.5000,253.6601,253.7184
